"","accuracy","number_of_patients"
"NON.CANCER",0.983,4323
"BRCA",0.974,914
"COAD",0.964,394
"LAML",0.985,265
"PRAD",0.996,248
"OV",0.996,248
"GBM",0.979,233
"LUAD.LUSC",0.91,223
"LIHC",0.987,223
"SARC",0.945,218
"CESC",0.995,183
"SKCM",0.976,168
"PAAD",0.988,167
"ACUTE.LYMPHOBLASTIC.LEUKEMIA",0.993,140
"NEUROBLASTOMA",0.986,139
"LUAD",0.985,136
"MULTIPLE.MYELOMA",0.969,128
"KIRC",1,82
"STAD",0.94,67
"HNSC",0.951,61
"DLBC",1,61
"LCML",0.983,60
"ESCA",0.833,54
"MEDULLOBLASTOMA",1,51
"GLIOMA",1,45
"UCEC",0.976,42
"NASOPHARYNGEAL.CARCINOMA",1,35
"MANTLE.CELL.LYMPHOMA",1,35
"FOLLICULAR.LYMPHOMA",1,33
"HISTOCYTIC.LYMPHOMA",1,32
"CUTANEOUS.T.CELL.LYMPHOMA",1,31
"ADENOID.CYSTIC.CARCINOMA",1,31
"THCA",1,28
"LUNG.CANCER",0.964,28
"MESO",1,27
"BLCA",0.96,25
"UTERINE.LEIOMYOMATA",0.87,23
"BURKITT.LYMPHOMA",1,23
"LUSC",1,22
"CHRONIC.LYMPHOCYTIC.LEUKEMIA",1,22
"HODGKIN.LYMPHOMA",1,18
"ACC",1,18
"B.CELL.LYMPHOMA",1,17
"NUT.MIDLINE.CARCINOMA",1,15
"LYMPHOMA",0.867,15
"CHOLANGIOCARCINOMA",1,15
"SMALL.CELL.LUNG.CARCINOMA",1,14
"NORMAL.KIDNEY",1,13
"MUCOSA.ASSOCIATED.LYMPHOID.TISSUE.LYMPHOMA",0.846,13
"SEROUS.CARCINOMA",1,12
"EMBRYNOIC.CARCINOMA",0.917,12
"TESTICULAR.GERM.CELL.TUMOR",1,11
"READ",1,9
"ACUTE..MEGAKARYOCYTIC.LEUKEMIA",1,9
"T.CELL.LYMPHOMA",1,8
"SPLENIC.MARGINAL.CELL.LYMPHOMA",1,8
"MEGAKARYOBLASTIC.LEUKEMIA",1,8
"LARGE.GRANULAR.LYMPHOCYTE.LEUKEMIA",0.875,8
"SQUAMOUS.CELL.VULVAR.CARCINOMA",1,7
"KICH",1,6
"DROPPED",1,6
"PRIMARY.MEDIASTINAL.B.CELL.LYMPHOMA",1,5
"LARGE.CELL.LUNG.CARCINOMA",1,5
"NEUROECTODERMAL.TUMOR",1,4
"LGG",1,4
"MUCOEPIDERMOID.PULMONARY.CARCINOMA",0.333,3
"KIRC.KICH.KIRP",1,3
"HYPOPHARYNGEAL.CANCER",1,3
"EPENDYMOMA",1,3
"ATYPICAL.TERATOID...RHABDOID.TUMOR",1,3
"UVM",1,2
"OLIGOASTROCYTOMA",1,2
"MENINGIOMA",1,2
"TETRATOCARCINOMA",0,1
"SHWANNOMA",1,1
"PLACENTAL.CHORIOCARCINOMA",1,1
"LAML.LCML",1,1
"CHORIOCARCINOMA",1,1
