,learning times,layer,node,learning rate,gene number,train_acc,test_acc
0,6000,3,100 50 10,0.0001,30,0.9354314804077148,0.8579999804496765
1,6000,3,100 100 50,0.0001,30,0.9340577125549316,0.859000027179718
2,6000,3,100 100 100,0.0001,30,0.9328088164329529,0.8420000076293945
3,6000,3,200 100 10,0.0001,30,0.938179075717926,0.8525000214576721
4,6000,3,200 200 50,0.0001,30,0.9370550513267517,0.8414999842643738
5,6000,4,100 100 50 10,0.0001,30,0.9303109645843506,0.8500000238418579
6,6000,4,100 100 10 50,0.0001,30,0.9300612211227417,0.8529999852180481
7,6000,4,100 100 100 100,0.0001,30,0.9333083629608154,0.8579999804496765
8,6000,4,200 100 50 10,0.0001,30,0.937554657459259,0.8569999933242798
9,6000,4,200 200 50 10,0.0001,30,0.9304358959197998,0.8565000295639038
