,learning times,layer,node,learning rate,gene number,train_acc,test_acc
0,2000,3,100 50 10,0.0001,1,0.9751467704772949,0.8004999756813049
1,2000,3,100 100 50,0.0001,1,0.9817659258842468,0.8044999837875366
2,2000,3,100 100 100,0.0001,1,0.9803921580314636,0.8004999756813049
3,2000,3,200 100 10,0.0001,1,0.983889102935791,0.7875000238418579
4,2000,3,200 200 50,0.0001,1,0.983889102935791,0.7960000038146973
5,2000,4,100 100 50 10,0.0001,1,0.9998751282691956,0.7829999923706055
6,2000,4,100 100 10 50,0.0001,1,0.9997501969337463,0.7789999842643738
7,2000,4,100 100 100 100,0.0001,1,1.0,0.7785000205039978
8,2000,4,200 100 50 10,0.0001,1,1.0,0.7745000123977661
9,2000,4,200 200 50 10,0.0001,1,1.0,0.8004999756813049
