"","accuracy","number_of_patients"
"CHORIOCARCINOMA",0,1
"MENINGIOMA",0,1
"PLACENTAL.CHORIOCARCINOMA",0,1
"SHWANNOMA",0,1
"TETRATOCARCINOMA",0,2
"EMBRYNOIC.CARCINOMA",0.077,13
"SQUAMOUS.CELL.VULVAR.CARCINOMA",0.167,6
"SPLENIC.MARGINAL.CELL.LYMPHOMA",0.25,8
"MUCOEPIDERMOID.PULMONARY.CARCINOMA",0.333,3
"TESTICULAR.GERM.CELL.TUMOR",0.429,14
"MUCOSA.ASSOCIATED.LYMPHOID.TISSUE.LYMPHOMA",0.444,18
"GBM.LGG",0.5,2
"UVM",0.5,2
"READ",0.6,10
"LYMPHOMA",0.643,14
"T.CELL.LYMPHOMA",0.667,6
"THCA",0.7,30
"HNSC",0.706,68
"LARGE.GRANULAR.LYMPHOCYTE.LEUKEMIA",0.714,7
"LUSC",0.739,23
"EPENDYMOMA",0.75,4
"ACC",0.76,25
"UTERINE.LEIOMYOMATA",0.76,25
"ACUTE.LYMPHOBLASTIC.LEUKEMIA",0.763,152
"LAML",0.792,250
"SARC",0.794,199
"GBM",0.8,230
"SMALL.CELL.LUNG.CARCINOMA",0.8,10
"DLBC",0.81,63
"FOLLICULAR.LYMPHOMA",0.812,32
"MULTIPLE.MYELOMA",0.821,134
"LUNG.CANCER",0.824,34
"BLCA",0.833,18
"KICH",0.833,6
"UCEC",0.833,42
"MESO",0.85,20
"BRCA",0.855,887
"NUT.MIDLINE.CARCINOMA",0.857,14
"LUAD",0.866,134
"STAD",0.866,67
"GLIOMA",0.868,53
"COAD",0.877,407
"ESCA",0.902,51
"HODGKIN.LYMPHOMA",0.905,21
"PAAD",0.906,180
"LUAD.LUSC",0.908,217
"CHOLANGIOCARCINOMA",0.909,11
"LCML",0.909,55
"LIHC",0.909,219
"SEROUS.CARCINOMA",0.909,11
"OV",0.912,238
"BURKITT.LYMPHOMA",0.913,23
"SKCM",0.929,168
"CESC",0.93,186
"MANTLE.CELL.LYMPHOMA",0.93,43
"NON.CANCER",0.935,4333
"NASOPHARYNGEAL.CARCINOMA",0.95,40
"PRAD",0.962,261
"ADENOID.CYSTIC.CARCINOMA",0.967,30
"CHRONIC.LYMPHOCYTIC.LEUKEMIA",0.968,31
"KIRC",0.975,79
"NEUROBLASTOMA",0.979,140
"ACUTE..MEGAKARYOCYTIC.LEUKEMIA",1,10
"ATYPICAL.TERATOID...RHABDOID.TUMOR",1,2
"B.CELL.LYMPHOMA",1,19
"CUTANEOUS.T.CELL.LYMPHOMA",1,31
"DROPPED",1,8
"HISTOCYTIC.LYMPHOMA",1,32
"HYPOPHARYNGEAL.CANCER",1,3
"KIRC.KICH.KIRP",1,3
"LAML.LCML",1,2
"LARGE.CELL.LUNG.CARCINOMA",1,9
"LGG",1,2
"MEDULLOBLASTOMA",1,48
"MEGAKARYOBLASTIC.LEUKEMIA",1,9
"NEPHROBLASTOMA",1,2
"NEUROECTODERMAL.TUMOR",1,4
"NORMAL.KIDNEY",1,11
"OLIGOASTROCYTOMA",1,2
"PRIMARY.MEDIASTINAL.B.CELL.LYMPHOMA",1,4
