"","accuracy","number_of_patients"
"EMBRYNOIC.CARCINOMA",0,9
"MENINGIOMA",0,2
"SQUAMOUS.CELL.VULVAR.CARCINOMA",0,5
"TETRATOCARCINOMA",0,2
"SPLENIC.MARGINAL.CELL.LYMPHOMA",0.167,6
"MUCOSA.ASSOCIATED.LYMPHOID.TISSUE.LYMPHOMA",0.286,14
"LARGE.GRANULAR.LYMPHOCYTE.LEUKEMIA",0.444,9
"TESTICULAR.GERM.CELL.TUMOR",0.471,17
"EPENDYMOMA",0.5,4
"GBM.LGG",0.5,2
"MUCOEPIDERMOID.PULMONARY.CARCINOMA",0.6,5
"READ",0.636,11
"LGG",0.667,6
"T.CELL.LYMPHOMA",0.667,9
"HNSC",0.676,68
"LYMPHOMA",0.706,17
"FOLLICULAR.LYMPHOMA",0.733,30
"GLIOMA",0.735,49
"ACC",0.739,23
"MESO",0.741,27
"MULTIPLE.MYELOMA",0.744,129
"LAML",0.754,248
"UTERINE.LEIOMYOMATA",0.773,22
"THCA",0.788,33
"UCEC",0.791,43
"BLCA",0.792,24
"GBM",0.8,235
"SARC",0.803,223
"NUT.MIDLINE.CARCINOMA",0.812,16
"CHRONIC.LYMPHOCYTIC.LEUKEMIA",0.821,28
"DLBC",0.828,58
"ACUTE.LYMPHOBLASTIC.LEUKEMIA",0.831,142
"CHOLANGIOCARCINOMA",0.857,14
"BRCA",0.866,902
"NASOPHARYNGEAL.CARCINOMA",0.867,30
"LCML",0.871,62
"COAD",0.873,409
"KICH",0.875,8
"STAD",0.879,66
"LUAD",0.883,137
"SMALL.CELL.LUNG.CARCINOMA",0.9,10
"LUNG.CANCER",0.906,32
"PAAD",0.906,171
"OV",0.919,235
"CESC",0.922,167
"NON.CANCER",0.928,4253
"LIHC",0.929,211
"LUAD.LUSC",0.933,194
"LUSC",0.944,18
"SKCM",0.944,180
"HODGKIN.LYMPHOMA",0.957,23
"PRAD",0.958,263
"KIRC",0.959,73
"ADENOID.CYSTIC.CARCINOMA",0.966,29
"NEUROBLASTOMA",0.972,142
"MANTLE.CELL.LYMPHOMA",0.975,40
"ESCA",0.981,52
"ACUTE..MEGAKARYOCYTIC.LEUKEMIA",1,9
"ATYPICAL.TERATOID...RHABDOID.TUMOR",1,4
"B.CELL.LYMPHOMA",1,19
"BURKITT.LYMPHOMA",1,30
"CHORIOCARCINOMA",1,1
"CUTANEOUS.T.CELL.LYMPHOMA",1,33
"DROPPED",1,7
"HISTOCYTIC.LYMPHOMA",1,33
"HYPOPHARYNGEAL.CANCER",1,4
"KIRC.KICH.KIRP",1,4
"LAML.LCML",1,2
"LARGE.CELL.LUNG.CARCINOMA",1,8
"MEDULLOBLASTOMA",1,54
"MEGAKARYOBLASTIC.LEUKEMIA",1,7
"NEPHROBLASTOMA",1,2
"NEUROECTODERMAL.TUMOR",1,4
"NORMAL.KIDNEY",1,13
"PLACENTAL.CHORIOCARCINOMA",1,1
"PRIMARY.MEDIASTINAL.B.CELL.LYMPHOMA",1,2
"SEROUS.CARCINOMA",1,7
