"","accuracy","number_of_patients"
"MENINGIOMA",0,2
"SPLENIC.MARGINAL.CELL.LYMPHOMA",0,8
"TETRATOCARCINOMA",0,1
"EMBRYNOIC.CARCINOMA",0.083,12
"SQUAMOUS.CELL.VULVAR.CARCINOMA",0.143,7
"TESTICULAR.GERM.CELL.TUMOR",0.182,11
"MUCOSA.ASSOCIATED.LYMPHOID.TISSUE.LYMPHOMA",0.308,13
"MUCOEPIDERMOID.PULMONARY.CARCINOMA",0.333,3
"LARGE.GRANULAR.LYMPHOCYTE.LEUKEMIA",0.375,8
"READ",0.556,9
"EPENDYMOMA",0.667,3
"THCA",0.679,28
"ACC",0.722,18
"LYMPHOMA",0.733,15
"DLBC",0.738,61
"LGG",0.75,4
"T.CELL.LYMPHOMA",0.75,8
"LAML",0.751,265
"UCEC",0.762,42
"MULTIPLE.MYELOMA",0.766,128
"LUNG.CANCER",0.786,28
"FOLLICULAR.LYMPHOMA",0.788,33
"SARC",0.789,218
"GBM",0.79,233
"MESO",0.815,27
"HNSC",0.82,61
"UTERINE.LEIOMYOMATA",0.826,23
"ACUTE.LYMPHOBLASTIC.LEUKEMIA",0.829,140
"BLCA",0.84,25
"SMALL.CELL.LUNG.CARCINOMA",0.857,14
"BRCA",0.859,914
"LUAD",0.86,136
"CHOLANGIOCARCINOMA",0.867,15
"GLIOMA",0.867,45
"NUT.MIDLINE.CARCINOMA",0.867,15
"STAD",0.881,67
"COAD",0.888,394
"LCML",0.9,60
"LUAD.LUSC",0.901,223
"CESC",0.907,183
"CHRONIC.LYMPHOCYTIC.LEUKEMIA",0.909,22
"LUSC",0.909,22
"LIHC",0.91,223
"OV",0.911,248
"NASOPHARYNGEAL.CARCINOMA",0.914,35
"SEROUS.CARCINOMA",0.917,12
"SKCM",0.929,168
"NON.CANCER",0.932,4323
"PAAD",0.934,167
"PRAD",0.944,248
"KIRC",0.963,82
"ADENOID.CYSTIC.CARCINOMA",0.968,31
"MANTLE.CELL.LYMPHOMA",0.971,35
"NEUROBLASTOMA",0.993,139
"ACUTE..MEGAKARYOCYTIC.LEUKEMIA",1,9
"ATYPICAL.TERATOID...RHABDOID.TUMOR",1,3
"B.CELL.LYMPHOMA",1,17
"BURKITT.LYMPHOMA",1,23
"CHORIOCARCINOMA",1,1
"CUTANEOUS.T.CELL.LYMPHOMA",1,31
"DROPPED",1,6
"ESCA",1,54
"HISTOCYTIC.LYMPHOMA",1,32
"HODGKIN.LYMPHOMA",1,18
"HYPOPHARYNGEAL.CANCER",1,3
"KICH",1,6
"KIRC.KICH.KIRP",1,3
"LAML.LCML",1,1
"LARGE.CELL.LUNG.CARCINOMA",1,5
"MEDULLOBLASTOMA",1,51
"MEGAKARYOBLASTIC.LEUKEMIA",1,8
"NEUROECTODERMAL.TUMOR",1,4
"NORMAL.KIDNEY",1,13
"OLIGOASTROCYTOMA",1,2
"PLACENTAL.CHORIOCARCINOMA",1,1
"PRIMARY.MEDIASTINAL.B.CELL.LYMPHOMA",1,5
"SHWANNOMA",1,1
"UVM",1,2
